nom_loc,cve_col,nom_col,viviendas_totales,poblacion_total,pctj_mujeres,pctj_hombres,pctj_menores18,pctj_adultos18_59,pctj_60ymas,escolaridad_años_prom,nivel_escolaridad_prom,nom_col_norm
Hermosillo,2603000011500,VILLA SONORA,1358,4035,52.2%,47.8%,20.3%,70%,9.6%,13.1,Preparatoria,VILLA SONORA
Hermosillo,2603000011501,CERRADA SUAQUI GRANDE,30,85,50.6%,49.4%,18.8%,67.1%,14.1%,12.7,Secundaria,CERRADA SUAQUI GRANDE
Hermosillo,2603000011502,EL MARIACHI,1260,3370,49.8%,50.2%,25.4%,54.1%,20.5%,9.7,Secundaria,EL MARIACHI
Hermosillo,2603000011503,CAÑADA DE LOS NEGROS,202,637,50.6%,49.4%,30.1%,55.7%,14.1%,8.8,Primaria,CAÑADA DE LOS NEGROS
Hermosillo,2603000011504,CONJUNTO ALBORADA,136,373,50.7%,49.3%,24.1%,66.5%,9.4%,12.4,Secundaria,CONJUNTO ALBORADA
Hermosillo,2603000011506,SAN LORENZO,147,475,50.9%,49.1%,31.6%,64.6%,3.8%,13.9,Preparatoria,SAN LORENZO
Hermosillo,2603000011507,ALTOS DE ARAGON,48,146,44.5%,55.5%,24%,69.2%,6.8%,14.5,Preparatoria,ALTOS DE ARAGON
Hermosillo,2603000011508,CUMBRES RESIDENCIAL,191,607,52.6%,47.4%,19.8%,65.7%,14.5%,14.8,Preparatoria,CUMBRES RESIDENCIAL
Hermosillo,2603000011510,LORETO RESIDENCIAL,103,369,48.2%,51.8%,18.7%,67.2%,14.1%,14.8,Preparatoria,LORETO RESIDENCIAL
Hermosillo,2603000011511,CERRADA CUCURPE,114,344,55.5%,44.5%,21.5%,70.3%,8.1%,14.1,Preparatoria,CERRADA CUCURPE
Hermosillo,2603000011512,LA PALOMA,53,161,54%,46%,18.6%,62.1%,19.3%,15.1,Licenciatura,LA PALOMA
Hermosillo,2603000011513,EL DORADO,62,209,53.6%,46.4%,21.1%,62.7%,16.3%,15.1,Licenciatura,EL DORADO
Hermosillo,2603000011515,RESIDENCIAL BRITANIA,68,206,48.1%,51.9%,14.1%,69.9%,16%,15.4,Licenciatura,RESIDENCIAL BRITANIA
Hermosillo,2603000011516,LOS SABINOS,236,591,49.9%,50.1%,15.6%,63.8%,20.6%,15.0,Licenciatura,LOS SABINOS
Hermosillo,2603000011517,PASEO DE LA COLINA,33,103,58.3%,41.7%,27.2%,62.1%,10.7%,15.0,Licenciatura,PASEO DE LA COLINA
Hermosillo,2603000011518,LOMA BLANCA,51,161,50.9%,49.1%,20.5%,67.7%,11.8%,14.7,Preparatoria,LOMA BLANCA
Hermosillo,2603000011519,PASEO DE LAS MARGARITAS,245,719,49.8%,50.2%,19.6%,70%,10.4%,13.2,Preparatoria,PASEO DE LAS MARGARITAS
Hermosillo,2603000011520,CUATRO OLIVOS,682,2052,49.9%,50.1%,25.1%,61.9%,13%,10.4,Secundaria,CUATRO OLIVOS
Hermosillo,2603000011521,COLINA BLANCA,101,296,53%,47%,19.3%,61.5%,19.3%,14.9,Preparatoria,COLINA BLANCA
Hermosillo,2603000011522,BACHOCO,373,986,54.5%,45.5%,14.3%,54.4%,31.3%,14.4,Preparatoria,BACHOCO
Hermosillo,2603000011523,SIERRA BLANCA,257,667,54.6%,45.4%,23.4%,66.3%,10.3%,14.2,Preparatoria,SIERRA BLANCA
Hermosillo,2603000011524,SIERRA VISTA,161,465,54.6%,45.4%,15.7%,62.2%,22.2%,14.3,Preparatoria,SIERRA VISTA
Hermosillo,2603000011525,PUEBLO ALTO,181,448,51.7%,48.3%,18.8%,63.8%,17.4%,15.2,Licenciatura,PUEBLO ALTO
Hermosillo,2603000011526,RESIDENCIAL MEDITERRANEO,59,156,50%,50%,17.9%,61.5%,20.5%,14.7,Preparatoria,RESIDENCIAL MEDITERRANEO
Hermosillo,2603000011529,RETORNO ARCO IRIS,82,170,55.9%,44.1%,19.4%,72.4%,8.2%,15.3,Licenciatura,RETORNO ARCO IRIS
Hermosillo,2603000011532,CATALINAS RESIDENCIAL,160,512,53.3%,46.7%,22.3%,64.3%,13.5%,14.8,Preparatoria,CATALINAS RESIDENCIAL
Hermosillo,2603000011533,RESIDENCIAL COUNTRY CLUB,51,110,46.3%,53.7%,38.2%,57.3%,4.5%,14.9,Preparatoria,RESIDENCIAL COUNTRY CLUB
Hermosillo,2603000011534,CERRADA SAN IGNACIO,38,69,55.1%,44.9%,21.7%,78.3%,0%,15.8,Licenciatura,CERRADA SAN IGNACIO
Hermosillo,2603000011535,LOMAS PITIC,137,354,53.4%,46.6%,15.8%,57.6%,26.6%,14.3,Preparatoria,LOMAS PITIC
Hermosillo,2603000011536,FERROCARRILERA,84,260,47.9%,52.1%,31.9%,53.1%,15%,9.7,Secundaria,FERROCARRILERA
Hermosillo,2603000011537,AMAPOLAS,670,2289,49.9%,50.1%,30.7%,55.4%,13.9%,8.7,Primaria,AMAPOLAS
Hermosillo,2603000011538,LOMAS DE MADRID,1733,5397,51.2%,48.8%,24.9%,58.3%,16.7%,10.3,Secundaria,LOMAS DE MADRID
Hermosillo,2603000011539,LOPEZ PORTILLO,2252,6906,50.3%,49.7%,22.5%,59.3%,18.2%,10.4,Secundaria,LOPEZ PORTILLO
Hermosillo,2603000011540,LA METALERA,346,1235,50%,50%,28.5%,58.9%,12.6%,8.9,Primaria,LA METALERA
Hermosillo,2603000011541,LOMAS DE LINDA VISTA,782,2258,51.7%,48.3%,20.9%,68.5%,10.6%,12.7,Secundaria,LOMAS DE LINDA VISTA
Hermosillo,2603000011542,MISION SAN CRISTOBAL,32,112,47.3%,52.7%,25%,62.5%,12.5%,13.1,Preparatoria,MISION SAN CRISTOBAL
Hermosillo,2603000011543,RESIDENCIAL ARIZONA,104,299,50.8%,49.2%,25.8%,68.2%,6%,12.4,Secundaria,RESIDENCIAL ARIZONA
Hermosillo,2603000011544,ATARDECERES,278,755,50.2%,49.8%,18.3%,62.8%,18.9%,12.3,Secundaria,ATARDECERES
Hermosillo,2603000011546,LEY 57,3618,9761,50.9%,49.1%,18.9%,58.8%,22.3%,11.3,Secundaria,LEY 57
Hermosillo,2603000011547,FRANCISCO VILLA,548,1401,53.6%,46.4%,20.3%,57%,22.7%,11.0,Secundaria,FRANCISCO VILLA
Hermosillo,2603000011549,MISION DEL SOL,755,2251,51.5%,48.5%,19.3%,68.5%,12.2%,14.8,Preparatoria,MISION DEL SOL
Hermosillo,2603000011550,RINCONADA DE LA CRUZ,138,429,44.9%,55.1%,30.5%,52.7%,16.8%,9.4,Secundaria,RINCONADA DE LA CRUZ
Hermosillo,2603000011551,COLINAS RESIDENCIAL,509,1472,53%,47%,18.3%,62.8%,18.9%,14.8,Preparatoria,COLINAS RESIDENCIAL
Hermosillo,2603000011552,COLOSO ALTO,314,1068,48.8%,51.2%,29.6%,57%,13.4%,9.1,Secundaria,COLOSO ALTO
Hermosillo,2603000011553,SACRAMENTO RESIDENCIAL,307,790,52.3%,47.7%,15.4%,63.8%,20.8%,14.7,Preparatoria,SACRAMENTO RESIDENCIAL
Hermosillo,2603000011554,MISION DEL REAL,341,1044,50.5%,49.5%,17.8%,67.5%,14.7%,14.3,Preparatoria,MISION DEL REAL
Hermosillo,2603000011555,COLOSO BAJO,282,895,46%,54%,27.4%,54.2%,18.4%,9.0,Secundaria,COLOSO BAJO
Hermosillo,2603000011556,APOLO,468,1215,53.3%,46.7%,14.5%,50.4%,35.1%,12.7,Secundaria,APOLO
Hermosillo,2603000011557,RESIDENCIAL KINO,94,263,44.1%,55.9%,13.3%,60.8%,25.9%,13.3,Preparatoria,RESIDENCIAL KINO
Hermosillo,2603000011558,CENTENARIO,749,1778,53.8%,46.2%,19%,52.5%,28.6%,14.0,Preparatoria,CENTENARIO
Hermosillo,2603000011559,PRIVADAS DE BUGAMBILIAS,74,189,52.4%,47.6%,16.4%,67.2%,16.4%,14.8,Preparatoria,PRIVADAS DE BUGAMBILIAS
Hermosillo,2603000011560,PRADOS DEL SOL,413,1080,53.8%,46.2%,15.3%,63.3%,21.4%,14.7,Preparatoria,PRADOS DEL SOL
Hermosillo,2603000011561,BUGAMBILIAS,946,2482,53.7%,46.3%,13.5%,54%,32.5%,14.4,Preparatoria,BUGAMBILIAS
Hermosillo,2603000011562,TERRAZAS DEL MIRADOR,10,26,57.7%,42.3%,7.7%,92.3%,0%,15.0,Licenciatura,TERRAZAS DEL MIRADOR
Hermosillo,2603000011564,LOS ROSALES,194,485,53.4%,46.6%,13.6%,51.5%,34.8%,13.5,Preparatoria,LOS ROSALES
Hermosillo,2603000011565,PRADOS DEL CENTENARIO,162,461,51.2%,48.8%,13.7%,53.4%,33%,15.3,Licenciatura,PRADOS DEL CENTENARIO
Hermosillo,2603000011566,REAL DEL CENTENARIO,94,261,58.2%,41.8%,14.6%,52.5%,33%,13.6,Preparatoria,REAL DEL CENTENARIO
Hermosillo,2603000011567,RESIDENCIAL SAN ANTONIO,105,290,52.4%,47.6%,19.3%,52.4%,28.3%,15.0,Licenciatura,RESIDENCIAL SAN ANTONIO
Hermosillo,2603000011568,PASEO DEL SOL,264,678,51.3%,48.7%,15.5%,59.6%,24.9%,14.8,Preparatoria,PASEO DEL SOL
Hermosillo,2603000011569,NUEVA GALICIA,286,777,49.8%,50.2%,14.2%,67.1%,18.8%,14.9,Preparatoria,NUEVA GALICIA
Hermosillo,2603000011570,QUINTAS GALICIA,315,682,49.6%,50.4%,13.6%,65.4%,21%,14.7,Preparatoria,QUINTAS GALICIA
Hermosillo,2603000011571,CASA GRANDE,333,1150,51.1%,48.9%,17.3%,63.6%,19.1%,15.2,Licenciatura,CASA GRANDE
Hermosillo,2603000011573,LOMAS DEL PARAISO,141,480,47.9%,52.1%,33.8%,61.7%,4.6%,9.8,Secundaria,LOMAS DEL PARAISO
Hermosillo,2603000011576,RESIDENCIAL ALAMOS,27,87,50.6%,49.4%,27.6%,62.1%,10.3%,14.8,Preparatoria,RESIDENCIAL ALAMOS
Hermosillo,2603000011577,LOMAS DEL PITIC,21,60,53.3%,46.7%,18.3%,68.3%,13.3%,15.1,Licenciatura,LOMAS DEL PITIC
Hermosillo,2603000011578,PANTEON,18,51,52.9%,47.1%,35.3%,62.7%,2%,14.2,Preparatoria,PANTEON
Hermosillo,2603000011580,LOS PORTALES,209,577,50.1%,49.9%,15.6%,70.7%,13.7%,15.2,Licenciatura,LOS PORTALES
