COLONIA,LATITUD,LONGITUD,DIRECCION_FORMATEADA,TIPO_UBICACION,PLACE_ID,TIPOS,TIMESTAMP
ARANDANOS RESIDENCIAL,29.1455359,-111.0113343,"Arándanos, 83318 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ7bKwO9iAzoYRV6hNDxvG9bs,route,2025-11-05T17:37:05.183034
ARANJUEZ RESIDENCIAL,29.1570199,-110.9752156,"Aranjuez Residencial, 83114 Hermosillo, Son., Mexico",APPROXIMATE,ChIJJ7a3eiKHzoYRRj181WE4FTk,"neighborhood, political",2025-11-05T17:37:05.543038
ARBOLEDAS,29.0032044,-110.9305456,"Arboledas, 83296 Hermosillo, Son., Mexico",APPROXIMATE,ChIJZb-qV8CazoYRIwApsW-kNAs,"political, sublocality, sublocality_level_1",2025-11-05T17:37:05.889442
ARCADIA,29.1492059,-110.9602611,"Arcadia, Colinas del Sol, 83106 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJeVaG_fyGzoYRHCfaZTdEIaA,route,2025-11-05T17:37:06.244755
ARCADIA SECC. NAPOLES,29.0770964,-110.9666323,"Nápoles, 83260 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJWdojR0SEzoYRm_gSGZypo40,route,2025-11-05T17:37:06.591057
ARCO IRIS,29.0771253,-110.9764854,"Arco Iris, 83250 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJzbvrJWqEzoYRSAVSrShvMrY,route,2025-11-05T17:37:06.945339
ARDENEZ,29.0729673,-110.9559192,"Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJ5a7femiEzoYR-X-I6ZVTPbM,"locality, political",2025-11-05T17:37:07.284699
ARIZONA,29.1193561,-110.9773944,"C. Arizona, Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJhbDcTLyGzoYRncEDwHcHVGQ,route,2025-11-05T17:37:07.648095
ARROYOS,29.0624802,-110.9696229,"De Los Arroyos, Praderas, 83288 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJMSwyQl-EzoYRUEpYLwUW-64,route,2025-11-05T17:37:08.003086
ARTESANOS\BAHIA DE KINO,28.8274709,-111.9380897,"Artesanos, 83342 Bahía de Kino, Son., Mexico",APPROXIMATE,ChIJGW29szv3zIYR7J6Nyn4Dp9Y,"political, sublocality, sublocality_level_1",2025-11-05T17:37:08.384970
ARÁNDANOS,29.1455359,-111.0113343,"Arándanos, 83318 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJ7bKwO9iAzoYRV6hNDxvG9bs,route,2025-11-05T17:37:08.729560
ASTURIAS RESIDENCIAL,29.0651234,-110.9830763,"Asturias Residencial, Marsella Residencial, 83288 Hermosillo, Son., Mexico",APPROXIMATE,ChIJBdi4imOEzoYRwsrU4lxdEJU,"neighborhood, political",2025-11-05T17:37:09.088240
ATARDECERES,29.1200564,-110.9823312,"Atardeceres, Hermosillo, Son., Mexico",APPROXIMATE,ChIJw0Ii2ruGzoYRIWcsDVhXO2Y,"political, sublocality, sublocality_level_1",2025-11-05T17:37:09.438191
AZORES RESIDENCIAL,29.0624185,-110.9917334,"Camino del Seri y Blvd. de las Quintas, Por, Blvd. Islas Azores, Azores residencial, 83287 Hermosillo, Son., Mexico",GEOMETRIC_CENTER,ChIJH_YGB9KFzoYRBZjNGkSQeHw,"establishment, lodging, point_of_interest",2025-11-05T17:37:09.794514
BACHOCO,29.1289971,-110.9551343,"Bachoco, Hermosillo, Son., Mexico",APPROXIMATE,ChIJwxFCPYuGzoYRF9zK2nJ0VAg,"political, sublocality, sublocality_level_1",2025-11-05T17:37:10.158162
BAGALONA,29.0729673,-110.9559192,"Hermosillo, Sonora, Mexico",APPROXIMATE,ChIJ5a7femiEzoYR-X-I6ZVTPbM,"locality, political",2025-11-05T17:37:10.502173
BAHÍA DE KINO,29.0729673,-110.9559192,"Centro, 83079 Hermosillo, Sonora, Mexico",GEOMETRIC_CENTER,ChIJDa74bACFzoYRlyhzW_LlV1k,"establishment, point_of_interest",2025-11-05T17:37:10.863314
BAHÍA DE KINO NUEVO,28.8565804,-112.0104543,"Av. Mar de Cortéz 1810, Las Lomas, 83340 Kino Nuevo, Son., Mexico",ROOFTOP,ChIJRXTY_7P7zIYRKfNXr8HgXtY,"establishment, lodging, point_of_interest",2025-11-05T17:37:11.239946
BALDERRAMA,29.1082892,-110.9715269,"Balderrama, 83180 Hermosillo, Son., Mexico",APPROXIMATE,ChIJgWUNAZ6GzoYR2a4RgUTme38,"political, sublocality, sublocality_level_1",2025-11-05T17:37:11.597458
