COLONIA_REPRESENTATIVA,NUM_VARIANTES,VARIANTES,FRECUENCIA_TOTAL
AMPLIACION ALCATRACES,2,AMPLIACION ALCATRACES | AMPLIACION ALCATRAZES,294
PARQUE INDUSTRIAL HERMOSILLO NORTE,2,PARQUE INDUSTRIAL DE HERMOSILLO NORTE | PARQUE INDUSTRIAL HERMOSILLO NORTE,273
URBI ALAMEDA LOS ENCINOS RESIDENCIAL II,2,URBI ALAMEDA LOS ENCINOS RESIDENCIAL II | URBI ALAMEDA LOS ENCIONAS RESIDENCIAL II,253
VILLAS DEL CORTEZ,2,VILLAS DE CORTEZ | VILLAS DEL CORTEZ,244
ANDALUCIA,2,ANDALUCIA | ANDALUCÍA,240
VILLAS DE ROMANZA,2,VILLAS DE ROMANZA | VOLLAS DE ROMANZA,230
RINCONADA DE NUEVO LEON,2,RINCONADA DE NUEVO LEON | RINCONADA NUEVO LEON,229
CORTIJO PERIODISTAS,2,CORTIJO PERIODISTAS | CORTIJO PERODISTA,221
RINCON AGRADABLE,2,RINC0N AGRADABLE | RINCON AGRADABLE,209
MONTEALBAN RESIDENCIAL,2,MONTALBAN RESIDENCIAL | MONTEALBAN RESIDENCIAL,184
CORTIJO SECCION PIONEROS,2,CORTIJO SECCION PIONEROS | EL CORTIJO SECCION PIONEROS,165
MONACO PRIVADA RESIDENCIAL,3,MONACO PRIVADA RESIDENCIAL | MONACO PRIVADAS RESIDENCIALES | MÓNACO PRIVADA RESIDENCIAL,165
PUEBLO DEL ÁNGEL,2,PUEBLO DEL ANGEL | PUEBLO DEL ÁNGEL,146
MILAN,2,MILAN | MILÁN,143
RINCÓN DE LA HERRADURA,2,RINCON DE LA HERRADURA | RINCÓN DE LA HERRADURA,117
PORTAL DE LAGOS,2,PORTAL DE LAGOS | PORTAL DEL LAGO,112
LA VERBENA SECCION ASTURIAS I ETAPA,2,LA VERBENA SECCION ASTURIAS I ETAPA | LA VERBENA SECCION ASTURIAS II ETAPA,110
REAL DE TOLEDO,2,REAL DE TOLEDO | REAL DEL TOLEDO,100
ALCALA RESIDENCIAL,2,ALCALA RESIDENCIAL | ALCALÁ RESIDENCIAL,98
VALLE SANTA MÓNICA,2,VALLE SANTA MONICA | VALLE SANTA MÓNICA,94
QUINTA LA PALOMAS,2,QUINTA LA PALOMA | QUINTA LA PALOMAS,88
REAL DE MONTEJO,2,REAL DE MONTEJO | REAL DEL MONTEJO,82
MEDITERRÁNEO RESIDENCIAL,2,MEDITERRANEO RESIDENCIAL | MEDITERRÁNEO RESIDENCIAL,81
SANTA ANITA RESIDENCIAL,2,SAN ANITA RESIDENCIAL | SANTA ANITA RESIDENCIAL,78
EJIDO EL TRIUNFO,2,EJIDO EL TRIUNFITO | EJIDO EL TRIUNFO,67
RESIDENCIAL LA RIOJA NORTE,2,RESIDENCIAL LA RIOJA NORTE | RESIDENCIAL RIOJA NORTE,65
ALTAFIRENZE RESIDENCIAL,2,ALTA FIRENZE RESIDENCIAL | ALTAFIRENZE RESIDENCIAL,61
SIENA RESIDENCIAL,2,CIENA RESIDENCIAL | SIENA RESIDENCIAL,52
ACACIAS RESIDENCIAL,2,ACACIA RESIDENCIAL | ACACIAS RESIDENCIAL,50
VALLE DEL QUIROGA,2,VALLE DEL QIROGA | VALLE DEL QUIROGA,47
PRIVADA CORDOVA,2,PRIVADA CORDOBA | PRIVADA CORDOVA,27
PRIVADA RESIDENCIAL LA CAÑADA,2,PRIVADA RESIDENCIAL LA CANADA | PRIVADA RESIDENCIAL LA CAÑADA,24
VILLA DE SAN LORENZO,3,VILLA DE SAN LORENZO | VILLAS DE SAN LORENZO | VILLAS DEL SAN LORENZO,23
MONTEBELLO RESIDENCIAL,2,MONTE BELLO RESIDENCIAL | MONTEBELLO RESIDENCIAL,21
EL ZACATON,2,EL ZACATON | EL ZACATÓN,17
LAS LOMAS DEL PITIC,2,LAS LOMAS DE PITIC | LAS LOMAS DEL PITIC,16
OASIS  MONTE REAL,4,OASIS  MONTE REAL | OASIS MONTE REAL | OASIS MONTEREAL | OASIS MONTERREAL,15
LOS PINOS (COLONIA ADOLFO LOPEZ MATEOS),2,LOS PINOS (COLONIA ADOLFO LOPEZ MATEOS) | LOS PINOS (COLONIA ADOLFO LÓPEZ MATEOS),14
GALA 3,2,GALA  3 | GALA 3,11
AMPLIACION LUIS DONALDO COLOSIO 3RA.ETAPA,2,AMPLIACION LUIS DONALDO COLOSIO 3RA.ETAPA | AMPLIACIONL LUIS DONALDO COLOSIO 3RA.ETAPA,10
CAFE COMBATE,3,CAFE  COMBATE | CAFE COMBATE | CAFE COMBRATE,9
REAL DE CASTILLA,2,REAL DE CASTILA | REAL DE CASTILLA,9
ESTACION ZAMORA,2,ESTACION ZAMORA | ESTACIÓN ZAMORA,7
PUERTA REAL RESIDENCIAL 8A ETAPA,2,PUERTA REAL RESIDENCIAL 8A ETAPA | PUERTA REAL RESIDENCIAL XX ETAPA,7
LAS DOS MARÍAS,2,LAS DOS MARIAS | LAS DOS MARÍAS,5
NUEVO PROGRESO,2,NUEVO POROGRESO | NUEVO PROGRESO,4
COLINA DEL VALLE,2,COLINA DEL VALLE | COLINAS DEL VALLE,4
HACIENDA LOS TESOROS,2,HACIENDA DE LOS TESOROS | HACIENDA LOS TESOROS,4
JACINTO LOPEZ (LA GALERA),2,JACINTO LOPEZ (LA GALERA) | JACINTO LÓPEZ (LA GALERA),4
FLORENSA RESIDENCIAL,3,FLORENSA RESIDENCIAL | FLORENZA RESIDENCIAL | FLORESTA RESIDENCIAL,3
EJIDO LAS PLACITAS,2,EJIDO LAS PLACIITAS | EJIDO LAS PLACITAS,3
VILLA DEL SERI,2,VILLA DEL SERI | VILLAS DEL SERI,3
RESIDENCIAL VENTURA,2,RESIDENCIAL VENTURA | RESIDENCILA VENTURA,3
MANANTIAL DE CAMOU [CAMPESTRE],2,MANANTIAL DE CAMOU [CAMPESTRE] | MANANTIAL DE CAMOÚ [CAMPESTRE],3
VILLA ROMANZA RESIDENCIAL,2,VILLA DE ROMANZA RESIDENCIAL | VILLA ROMANZA RESIDENCIAL,2
EJIDO MESA DE SERI,2,EJIDO MESA DE SERI | EJIDO MESA DEL SERI,2
QUINTA ESMELRALDA,2,QUINTA ESMELRALDA | QUINTA ESMERALDA|,2
LA CAMPINA SECC GIRASOLES,2,LA CAMPINA SECC GIRASOLES | LA CAMPINA SECCION GIRASOLES,2
INVACION NUEVO SONORA,2,INVACION NUEVO SONORA | INVASION NUEVO SONORA,2
RESIDENCIAL LA CAÑADA,2,RESIDENCIAL LA CAÑADA | RESIDENCIAL LA ENCANTADA,2
VALLES DEL LAGO SECC ATARDECER,2,VALLES DEL LAGO SECC ATARDECER | VALLES DEL LAGO SECC. ATARDECER,2
CAMPESTRE CETÁCEAS,2,CAMPESTRE CETACEAS | CAMPESTRE CETÁCEAS,2
